Treatment,AvgTemp,WaterLeft,EcLeft,WeightedSpad,new_leaf,Size_temp,Avg_temp,Max_temp
B,35,155,0.185,58.63333333,0,14292,2826.668416,3357
B,35,155,0.185,59.06666667,1,21703,2834.315901,3282
B,35,155,0.185,59.5,0,21582,2878.818831,3417
B,35,155,0.185,59.93333333,1,23691,2878.973154,3358
B,35,155,0.185,60.36666667,0,14495,2886.957434,3288
B,35,155,0.185,60.8,1,18134,2855.018088,3299
B,35,155,0.185,59.98333333,0,25085,2850.206618,3463
B,35,155,0.185,59.16666667,0,15867,2802.453079,3299
B,35,155,0.185,58.35,0,26676,2789.835433,3227
B,35,155,0.185,57.53333333,0,21076,2768.806462,3253
B,35,155,0.185,56.71666667,1,22223,2764.396661,3270
B,35,155,0.185,55.9,1,23053,2739.764716,3209
B,35,155,0.185,55.9,0,16976,2981.581232,3372
B,35,155,0.185,55.9,1,15703,2874.092657,3211
B,35,155,0.185,55.9,0,19330,2730.151888,3227
C,35,155,0.325,58.6,0,23666,2659.746345,3020
C,35,155,0.325,58.6,1,16532,2693.596056,3103
C,35,155,0.325,58.88571429,0,16362,2711.0514,3184
C,35,155,0.325,59.17142857,1,19047,2759.803014,3208
C,35,155,0.325,59.45714286,0,20015,2755.278191,3323
C,35,155,0.325,59.74285714,0,15395,2764.182657,3313
C,35,155,0.325,60.02857143,0,15875,2792.328882,3225
C,35,155,0.325,60.31428571,0,17796,2760.255788,3135
C,35,155,0.325,60.6,0,22600,2772.815885,3416
C,35,155,0.325,59.8,0,16778,2795.376505,3456
C,35,155,0.325,59,0,22367,2750.988331,3211
C,35,155,0.325,58.2,0,22964,2713.032181,3156
C,35,155,0.325,57.4,1,27837,2726.542408,3192
C,35,155,0.325,56.6,0,24104,2698.646532,3087
C,35,155,0.325,55.8,0,16887,2726.889205,3197
C,35,155,0.325,56.46666667,1,24058,2764.574985,3227
C,35,155,0.325,57.13333333,0,18494,2711.599005,3080
C,35,155,0.325,57.8,1,30878,2745.610856,3206
C,35,155,0.325,58.46666667,0,20632,2747.220143,3136
C,35,155,0.325,59.13333333,1,24380,2724.545447,3336
C,35,155,0.325,59.8,0,19457,2694.355913,3157
C,35,155,0.325,57.9,0,15593,2689.787533,3202
C,35,155,0.325,56,0,23115,2672.807355,3067
C,35,155,0.325,54.1,0,17412,2683.665001,3213
C,35,155,0.325,52.2,1,18573,2694.608895,3065
C,35,155,0.325,50.3,0,19804,2730.8622,3056
C,35,155,0.325,48.4,0,15191,2728.391416,3113
C,35,155,0.325,48.4,0,21356,2676.551227,3121
C,35,155,0.325,48.4,0,18524,2708.887335,3121
C,35,155,0.325,48.4,0,22293,2707.446014,3170
D,35,127.5,0.26,42.9,0,18438,2780.226326,3308
D,35,127.5,0.26,42.9,0,16600,2843.037651,3435
D,35,127.5,0.26,44.74285714,0,22048,2825.896226,3380
