WaterLeft,SPAD,Size,3rd_temp,class
105.4425775,53.03333333,21004,2753.488653,1
92.38667513,53.36666667,20471,2718.820038,1
99.03846331,53.7,15989,2762.960863,1
105.4449475,52.78333333,13955,2762.118496,1
102.3038824,51.86666667,22861,2725.047619,1
105.852998,50.95,16737,2733.341204,1
101.4896821,50.03333333,15326,2690.876919,1
107.8796529,49.11666667,16940,2806.302507,1
101.6300085,48.2,11527,2803.830648,1
100.2653714,48.2,18871,2776.86852,1
108.9662221,48.2,17463,2723.891069,1
101.2545561,48.2,24833,2718.32514,1
65.96442631,47.5,17238,2980.401236,1
68.41140074,47.5,16504,2972.285778,1
65.61436782,48.15714286,21830,2892.735961,1
64.55155157,48.81428571,16622,2876.455967,1
74.59809335,49.47142857,18950,2927.846168,1
73.52280222,50.12857143,19700,2868.9649,1
67.06958336,50.78571429,25869,2882.465449,1
71.22920495,51.44285714,30071,2882.058053,1
68.96239683,52.1,19019,2922.15812,1
63.87527576,52.88333333,23782,2871.564409,1
71.35070386,53.66666667,15336,2866.885111,1
68.20625785,54.45,15756,2841.519531,1
69.01421544,55.23333333,19760,2805.997498,1
70.54135778,56.01666667,20668,2851.051502,1
67.95796047,56.8,19313,2818.40445,1
68.95765181,55.9,16053,2807.826906,1
71.92214685,55,21861,2785.978254,1
71.72951758,54.1,13874,2814.144497,1
64.0725663,53.2,19294,2780.731828,1
71.55891146,52.3,19717,2781.594033,1
67.10386227,51.4,16646,2726.678781,1
73.7130936,50.9,16292,2721.927902,1
70.01343207,50.4,19788,2763.95552,1
69.96538748,49.9,14122,2808.231657,1
70.42469699,49.4,18963,2808.582295,1
73.76240749,48.9,11803,2795.354438,1
74.33989838,48.4,18194,2806.913773,1
71.67178516,48.4,19724,2784.069708,1
70.55131039,48.4,22789,2735.088691,1
74.77112769,48.4,14690,2763.378114,1
170,55.2,16331,2859.285044,1
170,55.2,21484,2752.164789,1
170,55.41428571,18440,2823.612361,1
170,55.62857143,22540,2712.243363,1
170,55.84285714,24878,2714.572578,1
170,56.05714286,19210,2739.25894,1
170,56.27142857,16791,2783.218879,1
170,56.48571429,17622,2779.359346,1
170,56.7,18899,2755.579561,1
170,56.33333333,19493,2791.203281,1
170,55.96666667,25978,2773.927929,1
170,55.6,30265,2815.152241,1
170,55.23333333,18345,2773.487767,1
170,54.86666667,20348,2972.871918,1
170,54.5,19954,2774.375981,1
170,54.73333333,26468,2819.081777,1
170,54.96666667,17295,2769.906536,1
170,55.2,25309,2851.66525,1
170,55.43333333,12916,2797.305416,1
170,55.66666667,15885,2796.270308,1
170,55.9,21885,2807.266274,1
170,56.71666667,17825,2750.393777,1
170,57.53333333,20517,2794.437564,1
170,58.35,25926,2765.902006,1
170,59.16666667,22700,2763.951666,1
170,59.98333333,18686,2818.698929,1
170,60.8,22648,2843.187254,1
170,60.8,23887,2722.053795,1
170,60.8,30616,2753.059473,1
170,60.8,21100,2761.01193,1
155,53.6,22075,2976.296855,1
155,53.6,16979,3005.737412,1
155,55.05714286,21227,3074.989458,1
155,56.51428571,15445,2802.237828,1
155,57.97142857,20494,2763.084844,1
155,59.42857143,18189,2781.131093,1
155,60.88571429,16560,2765.56012,1
155,62.34285714,14315,2786.273416,1
155,63.8,18282,2746.119181,1
155,62.86666667,27460,2753.05858,1
155,61.93333333,19639,2719.17479,1
155,61,24728,2767.446401,1
155,60.06666667,20887,2760.642651,1
155,59.13333333,19655,2765.211069,1
155,58.2,13849,2805.566978,1
155,58.63333333,14292,2772.450115,1
155,59.06666667,21703,2795.060729,1
155,59.5,21582,2828.567191,1
155,59.93333333,23691,2838.589503,1
155,60.36666667,14495,2836.84439,1
155,60.8,18134,2832.978193,1
155,59.98333333,25085,2778.778853,1
155,59.16666667,15867,2734.516594,1
155,58.35,26676,2764.971241,1
155,57.53333333,21076,3003.657797,1
155,56.71666667,22223,2703.657035,1
155,55.9,23053,2663.364033,1
155,55.9,16976,2936.920809,1
155,55.9,15703,2834.713932,1
155,55.9,19330,2660.089481,1
155,58.6,23666,2613.970973,1
155,58.6,16532,2675.424593,1
155,58.88571429,16362,2661.235603,1
155,59.17142857,19047,2738.019203,1
155,59.45714286,20015,2693.68717,1
155,59.74285714,15395,2741.518067,1
155,60.02857143,15875,2754.705011,1
155,60.31428571,17796,2722.30872,1
155,60.6,22600,2727.67061,1
155,59.8,16778,2731.007017,1
155,59,22367,2690.614104,1
155,58.2,22964,2673.898346,1
155,57.4,27837,2696.984621,1
155,56.6,24104,2664.491535,1
155,55.8,16887,2700.245761,1
155,56.46666667,24058,2698.132189,1
155,57.13333333,18494,2682.259231,1
155,57.8,30878,2701.797093,1
155,58.46666667,20632,2714.204467,1
155,59.13333333,24380,2687.259795,1
155,59.8,19457,2668.088832,1
155,57.9,15593,2667.699246,1
155,56,23115,2641.715978,1
155,54.1,17412,2650.779647,1
155,52.2,18573,2660.34815,1
155,50.3,19804,2713.654472,1
155,48.4,15191,2698.970369,1
155,48.4,21356,2674.274461,1
155,48.4,18524,2668.403189,1
155,48.4,22293,2671.743871,1
127.5,42.9,18438,2794.403805,1
127.5,42.9,16600,2792.479769,1
127.5,44.74285714,22048,2766.770173,1
127.5,46.58571429,15597,2725.616771,1
127.5,48.42857143,18387,2719.781649,1
