0,1,2,3
0.7993697478991597,0.039326129185885524,0.1613041229149548,0.0
0.7993697478991597,0.039326129185885524,0.1613041229149548,0.0
0.7993697478991597,0.039326129185885524,0.1613041229149548,0.0
0.7993697478991597,0.039326129185885524,0.1613041229149548,0.0
0.7993697478991597,0.039326129185885524,0.1613041229149548,0.0
0.7993697478991597,0.039326129185885524,0.1613041229149548,0.0
0.7993697478991597,0.039326129185885524,0.1613041229149548,0.0
0.7993697478991597,0.039326129185885524,0.1613041229149548,0.0
0.7993697478991597,0.039326129185885524,0.1613041229149548,0.0
0.7993697478991597,0.039326129185885524,0.1613041229149548,0.0
0.7993697478991597,0.039326129185885524,0.1613041229149548,0.0
0.7993697478991597,0.039326129185885524,0.1613041229149548,0.0
0.7993697478991597,0.039326129185885524,0.1613041229149548,0.0
0.7993697478991597,0.039326129185885524,0.1613041229149548,0.0
0.7993697478991597,0.039326129185885524,0.1613041229149548,0.0
0.7993697478991597,0.039326129185885524,0.1613041229149548,0.0
0.7993697478991597,0.039326129185885524,0.1613041229149548,0.0
0.7993697478991597,0.039326129185885524,0.1613041229149548,0.0
